timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
0.08569,0.7015,-0.4549,9.70609,0.00826,0.01945,0.0393,,,,
0.12535,0.71347,-0.39983,9.39964,-0.02132,0.02038,0.02491,,,,
0.16502,0.67756,-0.35195,9.49062,-0.01399,0.01572,0.03184,,,,
0.20467,0.78769,-0.43335,9.56723,-0.03064,0.02798,0.02518,,,,
0.24432,0.80685,-0.39504,9.56723,-0.02158,0.06755,0.02385,,,,
0.28399,0.76375,-0.40462,9.50019,-0.02611,0.03051,0.02585,,,,
0.32364,0.68474,-0.45729,9.6199,-0.03091,0.02212,0.02798,,,,
0.36328,0.73981,-0.38068,9.6223,-0.02225,0.02478,0.02825,,,,
0.40292,0.67277,-0.40941,9.48822,-0.02238,0.02065,0.02891,,,,
0.44255,0.74939,-0.44772,9.53371,-0.02185,0.01919,0.03118,,,,
0.48219,0.78051,-0.3711,9.44991,-0.02958,0.01985,0.02958,,,,
0.52183,0.7422,-0.33519,9.61751,-0.02358,0.02958,0.02971,,,,
0.5615,0.64404,-0.40223,9.56484,-0.02238,0.02611,0.02825,,,,
0.60117,0.68235,-0.34237,9.45949,-0.02758,0.02505,0.02878,,,,
0.64082,0.7039,-0.4118,9.43315,-0.03171,0.02651,0.02878,,,,
0.68047,0.80206,-0.42138,9.64863,-0.02118,0.02718,0.02758,,,,
0.72012,0.61292,-0.23942,9.61751,-0.02838,0.02065,0.02785,,,,
0.75976,0.7446,-0.44772,9.56484,-0.01665,0.02172,0.03211,,,,
0.7994,0.71587,-0.40462,9.61033,-0.02931,0.02185,0.02771,,,,
0.83903,0.71108,-0.43096,9.64384,-0.02332,0.02545,0.02825,,,,
0.87864,0.67038,-0.36631,9.4954,-0.02252,0.02611,0.02838,,,,
0.91829,0.67995,-0.39744,9.58399,-0.02798,0.02918,0.02545,,,,
0.95794,0.90501,-0.37828,9.5385,-0.01892,0.02838,0.02918,,,,
0.99759,0.75178,-0.43574,9.35893,-0.02438,0.02611,0.02771,,,,
1.03723,0.84755,-0.43814,9.47146,-0.02478,0.02398,0.03238,,,,
1.07684,0.77572,-0.46208,9.5816,-0.02545,0.01879,0.02745,,,,
1.11648,0.75896,-0.37828,9.39964,-0.02038,0.02065,0.02931,,,,
1.15611,0.68953,-0.39744,9.5816,-0.02478,0.02745,0.02998,,,,
1.19574,0.67756,-0.42856,9.56723,-0.02225,0.02052,0.02944,,,,
1.23536,0.76375,-0.36871,9.64863,-0.02451,0.02931,0.02838,,,,
1.27498,0.73023,-0.38068,9.62948,-0.02585,0.02545,0.02851,,,,
1.31462,0.77572,-0.37828,9.58638,-0.02878,0.02571,0.02971,,,,
1.35423,0.69192,-0.39744,9.58638,-0.02158,0.02478,0.02931,,,,
1.39387,0.7853,-0.34237,9.39485,-0.02798,0.02638,0.02798,,,,
1.43349,0.65122,-0.33279,9.51935,-0.02518,0.02571,0.02705,,,,
1.47312,0.71826,-0.40941,9.36133,-0.03544,0.02411,0.02651,,,,
1.51275,0.73263,-0.38786,9.50259,-0.02705,0.02638,0.02705,,,,
1.55236,0.74939,-0.39504,9.56005,-0.02705,0.02611,0.03064,,,,
1.59199,0.73502,-0.43335,9.60314,-0.02505,0.02558,0.02825,,,,
1.63161,0.76136,-0.58419,9.53611,-0.02771,0.02438,0.02958,,,,
1.67126,0.76375,-0.41659,9.61511,-0.02411,0.02411,0.03184,,,,
1.71088,0.73741,-0.38786,9.44513,-0.01825,0.02372,0.02904,,,,
1.75051,0.68474,-0.35913,9.54329,-0.03317,0.02358,0.02731,,,,
1.79014,0.72784,-0.42377,9.5816,-0.01932,0.02745,0.03038,,,,
1.82976,0.7422,-0.4142,9.46188,-0.02358,0.02292,0.02771,,,,
1.8694,0.71826,-0.39265,9.51216,-0.02691,0.02438,0.02691,,,,
1.90902,0.76136,-0.51475,9.56723,-0.02358,0.02718,0.02665,,,,
1.94864,0.7446,-0.47884,9.60793,-0.01905,0.02625,0.03291,,,,
1.98827,0.67756,-0.42377,9.48822,-0.02971,0.01919,0.02984,,,,
2.02789,0.73981,-0.42377,9.56244,-0.02398,0.02478,0.03038,,,,
2.06753,0.69432,-0.35913,9.54089,-0.02931,0.02745,0.02851,,,,
2.10715,0.79248,-0.40701,9.69652,-0.02558,0.02451,0.02864,,,,
2.14678,0.73263,-0.34716,9.52892,-0.02092,0.02891,0.03078,,,,
2.1864,0.78769,-0.40462,9.60075,-0.02252,0.03864,0.01932,,,,
2.22602,0.71347,-0.47166,9.48822,-0.01599,0.02118,0.02984,,,,
2.26566,0.68235,-0.40223,9.57681,-0.01212,0.02038,0.03331,,,,
2.30528,0.94332,-0.05507,9.94073,-0.03624,0.04983,0.04557,,,,
2.34492,0.85952,-0.57461,9.55526,-0.02558,0.03677,0.01719,,,,
2.38454,0.65841,-0.73263,9.55526,-0.03371,-0.00893,0.12923,,,,
2.42417,0.81642,-0.28491,9.59835,0.03304,0.0445,0.174,,,,
2.4638,0.86191,-0.30406,9.59117,-0.0441,0.03384,0.17,,,,
2.50341,0.41899,-0.54348,9.70609,0.01759,-0.01066,0.12217,,,,
2.54305,0.84515,-0.49321,9.60075,0.00293,0.04317,0.05822,,,,
2.58267,0.85234,-0.46926,9.69173,-0.01985,0.02758,0.07554,,,,
2.6223,0.31603,-2.15239,9.63666,0.02265,0.05143,0.29937,,,,
2.66195,-0.7446,-1.66397,9.48104,0.01239,-0.16268,0.85761,,,,
2.70159,0.87388,-2.10929,9.75158,0.0878,0.03917,0.94714,,,,
