timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.00055,-2.00764,-1.69286,7.27013,-0.02357,-0.24226,1.73771,,,
0.00096,-1.92978,-0.684,7.4193,-0.30417,0.20088,1.68984,,,
0.00136,-2.52998,-2.82678,7.94887,-0.68019,0.50564,1.77099,,,
0.00237,-0.2063,-0.12781,9.80386,-0.00085,-0.00059,0.00028,,,
0.00276,-0.20277,-0.12877,9.80946,-0.00245,-0.0046,0.00083,,,
0.00315,-0.19699,-0.13097,9.82035,-0.00126,-0.00252,0.00036,,,
0.00353,-0.20131,-0.13248,9.81687,0.00069,0.00072,-0.00046,,,
0.00391,-0.20018,-0.13093,9.80988,0.00048,-0.00095,-1.00E-05,,,
0.00429,-0.20028,-0.13011,9.81411,0.00067,-0.00027,-0.00012,,,
0.00466,-0.19806,-0.13085,9.81044,0.00086,0.00027,-0.0003,,,
0.00504,-0.20032,-0.13069,9.82264,0.0009,0.00088,-0.00037,,,
0.00542,-0.20152,-0.13057,9.81067,0.00155,0.00183,-0.0003,,,
0.00581,-0.20301,-0.12643,9.8008,-0.00015,-0.00079,-0.00029,,,
0.00618,-0.19901,-0.1321,9.82719,0.00046,-2.00E-05,-0.00035,,,
0.00655,-0.20199,-0.12871,9.81473,0.00155,0.00214,-0.00053,,,
0.00692,-0.20228,-0.12776,9.80997,0.00023,0.00074,-0.00027,,,
0.00731,-0.20431,-0.12895,9.8068,-0.00082,-0.00159,0,,,
0.00768,-0.19945,-0.12952,9.81312,-0.00107,-0.00204,8.00E-05,,,
0.00805,-0.19907,-0.13169,9.82494,0.00143,0.00221,-0.0003,,,
0.00842,-0.20363,-0.12664,9.8067,0.00101,0.00141,-0.0002,,,
0.0088,-0.20119,-0.13005,9.82292,4.00E-05,0.00084,-8.00E-05,,,
0.00918,-0.20631,-0.12641,9.79967,-0.00101,-0.00183,0.00051,,,
0.00956,-0.20139,-0.13112,9.82379,-0.00057,-0.00159,0.00049,,,
0.00994,-0.19888,-0.1291,9.81124,-0.00053,-0.00023,7.00E-05,,,
0.01031,-0.20076,-0.12985,9.81726,-0.00034,-0.00082,0.00021,,,
0.01069,-0.20194,-0.12906,9.81103,0.00014,-0.00048,-3.00E-05,,,
0.01106,-0.19931,-0.13014,9.82675,6.00E-05,0.0003,-1.00E-05,,,
0.01143,-0.19877,-0.13058,9.81809,0.00035,0.00294,0.00013,,,
0.0118,-0.19912,-0.12988,9.81747,0.00227,0.00868,-0.00095,,,
0.01217,-0.21267,-0.1221,9.78966,-0.00427,-0.0017,0.00072,,,
0.01254,-0.19987,-0.12976,9.80267,-0.0008,-0.00189,9.00E-05,,,
0.01293,-0.20772,-0.12647,9.8021,-0.00022,-0.0042,-0.00019,,,
0.01332,-0.19947,-0.13098,9.81882,-0.00049,-0.00531,-0.0001,,,
0.0137,-0.19949,-0.13012,9.81094,0.00319,-0.00101,-0.0011,,,
0.01407,-0.19133,-0.14645,9.92441,-0.00873,0.00351,-0.0002,,,
0.01444,-0.20804,-0.11829,9.72391,-0.00488,0.01434,0.0025,,,
0.01482,-0.20852,-0.12224,9.76451,0.00068,-0.00676,-0.00132,,,
0.0152,-0.2004,-0.14056,9.82627,0.00109,-0.00227,-0.00048,,,
0.01557,-0.20905,-0.14077,9.8017,0.00248,-0.00767,0.00126,,,
0.01594,-0.21095,-0.17575,9.807,-0.00185,-0.00749,0.00591,,,
0.01632,-0.17493,-0.11734,9.92305,-0.011,-0.00421,0.01272,,,
0.01669,-0.20065,-0.09677,9.72227,-0.00065,0.00644,0.00247,,,
0.01706,-0.19505,-0.14039,9.87801,-0.00148,-0.00065,0.00058,,,
0.01745,-0.20211,-0.12553,9.78865,-0.00127,0.0021,-0.00068,,,
0.01782,-0.17739,-0.13361,9.884,0.00481,0.00877,-0.00254,,,
0.01819,-0.21787,-0.064,9.80699,0.00802,0.00978,-0.01233,,,
0.01856,-0.20191,-0.1204,9.80648,0.00902,0.0187,-0.01868,,,
0.01893,-0.20906,-0.17001,9.88242,0.0012,0.0212,-0.01351,,,
0.0193,-0.23132,-0.10751,9.654,0.00547,0.01135,-0.01103,,,
0.01967,-0.23321,-0.09956,9.80508,0.01172,-0.00164,-0.02028,,,
0.02005,-0.21426,-0.15226,9.87593,-0.01143,0.00281,-0.00983,,,
0.02043,-0.22088,-0.12024,9.77918,-0.01444,-0.00325,-0.00853,,,
0.02081,-0.21797,-0.20644,9.8097,-0.0205,-0.00229,-0.00176,,,
0.02119,-0.21431,-0.2034,9.86583,-0.02815,0.00785,0.014,,,
0.02159,-0.26755,-0.06873,9.69894,-0.00664,-0.00023,0.00883,,,
0.02197,-0.21486,-0.03312,9.77395,0.01818,-0.01836,-0.02718,,,
0.02234,-0.20923,-0.11539,9.7898,0.01966,-0.01858,-0.03232,,,
0.02272,-0.21887,-0.08295,9.44317,0.01773,-0.05939,-0.04284,,,
0.0231,-0.22493,-0.0627,9.54834,0.02476,-0.14549,-0.05502,,,
0.07477,-0.10353,-0.12171,9.80176,0.00086,-0.00181,-0.00016,,,
0.10783,-0.10072,-0.12123,9.79967,0.00128,-0.00828,-0.0001,,,
0.14082,-0.09757,-0.11961,9.84284,0.00141,-0.00178,5.00E-05,,,
0.174,-0.10038,-0.12122,9.81564,0.00019,-0.00046,-6.00E-05,,,
0.2071,-0.09818,-0.12077,9.82008,0.00014,-0.00031,-2.00E-05,,,
0.24016,-0.09831,-0.12066,9.81366,-9.00E-05,-8.00E-05,1.00E-05,,,
0.27324,-0.10004,-0.12078,9.81013,0.00016,-0.00027,-1.00E-05,,,
0.30632,-0.09755,-0.12127,9.82104,-0.00051,-0.00088,0.00013,,,
0.3394,-0.09888,-0.11912,9.81476,-5.00E-05,-8.00E-05,5.00E-05,,,
0.37249,-0.09779,-0.1219,9.81985,-0.00047,-0.00048,3.00E-05,,,
0.40548,-0.09833,-0.11994,9.8179,-0.00013,0.00053,7.00E-05,,,
0.43855,-0.09767,-0.12079,9.81049,-0.00038,0.00046,7.00E-05,,,
0.47173,-0.09845,-0.12118,9.81604,-0.00049,-0.0001,0.00019,,,
0.50482,-0.09798,-0.12087,9.81233,6.00E-05,-4.00E-05,-2.00E-05,,,
0.53785,-0.09961,-0.121,9.81551,-0.00013,-0.00035,-3.00E-05,,,
0.57097,-0.09729,-0.1214,9.81849,6.00E-05,-0.00014,-4.00E-05,,,
0.60413,-0.09835,-0.12152,9.81524,0.00021,-0.00027,-0.00014,,,
0.63715,-0.09632,-0.12211,9.82234,-0.00025,0.00017,-4.00E-05,,,
0.67013,-0.09749,-0.12278,9.82078,-0.00028,0.00162,0.00022,,,
0.70321,-0.09914,-0.12031,9.81236,-0.00043,0.0012,0.00022,,,
0.73629,-0.09906,-0.12096,9.81617,-0.00059,0.00141,0.00015,,,
0.76936,-0.09936,-0.12104,9.8113,-0.00047,0.00139,0.00017,,,
0.80245,-0.09979,-0.12242,9.81403,-0.00036,0.00026,3.00E-05,,,
0.83553,-0.10058,-0.12083,9.81382,0.00023,0.00074,-8.00E-05,,,
0.86865,-0.09961,-0.12273,9.81189,-0.00034,-6.00E-05,-4.00E-05,,,
0.90512,-0.09906,-0.12115,9.82068,-9.00E-05,0.00027,-4.00E-05,,,
0.93476,-0.09885,-0.12221,9.82055,-0.00051,0.00055,7.00E-05,,,
0.96793,-0.10146,-0.12045,9.80988,-0.00017,0.00068,0,,,
1.00101,-0.1007,-0.1214,9.81154,8.00E-05,-6.00E-05,-6.00E-05,,,
1.03415,-0.09956,-0.12166,9.81414,0,-6.00E-05,-0.0001,,,
1.06717,-0.09996,-0.12187,9.81161,0.00019,-0.00038,-0.00022,,,
1.10059,-0.1008,-0.12182,9.81631,0.00031,-0.00101,-0.00022,,,
1.13334,-0.0987,-0.12165,9.82129,0.0001,-0.00071,-0.00027,,,
1.16642,-0.09841,-0.12178,9.8196,-2.00E-05,0.00034,-0.00012,,,
1.1994,-0.10042,-0.1202,9.81191,-5.00E-05,0.00038,1.00E-05,,,
1.23253,-0.09963,-0.12097,9.81087,-0.00021,-0.00036,-0.0001,,,
1.26566,-0.09933,-0.12118,9.81939,-0.00013,6.00E-05,0,,,
1.29865,-0.0979,-0.1215,9.81632,-0.00021,0.00072,3.00E-05,,,
1.33173,-0.10085,-0.12177,9.80931,8.00E-05,-0.00012,7.00E-05,,,
1.3649,-0.09948,-0.1205,9.81406,0.00023,-0.00071,-0.00016,,,
1.39799,-0.09908,-0.12181,9.81526,0.00031,-0.00097,-0.00022,,,
1.43108,-0.09809,-0.12074,9.81789,0.00019,-0.00097,-0.00025,,,
1.46416,-0.0989,-0.12206,9.8137,0.00031,-0.00071,-0.00012,,,
1.49719,-0.10146,-0.1204,9.81281,-2.00E-05,-0.00191,-0.00012,,,
1.53031,-0.09592,-0.12317,9.82423,0.00044,-0.00111,-0.00022,,,
1.56331,-0.09813,-0.12092,9.81708,0.00012,0.00021,-0.00016,,,
1.59644,-0.09744,-0.12083,9.81252,-0.00011,-0.00019,-4.00E-05,,,
1.62947,-0.09642,-0.12013,9.82268,4.00E-05,0.00034,-0.0001,,,
1.66255,-0.09733,-0.12163,9.81157,-0.00015,0.00048,3.00E-05,,,
1.69563,-0.09753,-0.11978,9.81583,0,2.00E-05,-0.00016,,,
1.72871,-0.09799,-0.12161,9.82139,0.00017,0.00011,-0.0001,,,
1.7618,-0.09827,-0.11956,9.81301,0.00052,0.00063,-6.00E-05,,,
1.79488,-0.09756,-0.11974,9.8113,0.00014,0.00032,0,,,
1.82772,-0.09736,-0.12245,9.81795,6.00E-05,4.00E-05,0.00013,,,
1.8608,-0.09728,-0.11964,9.81636,0.00014,0.00063,5.00E-05,,,
1.89422,-0.09854,-0.11973,9.81255,-0.00017,0.00013,-6.00E-05,,,
1.9273,-0.09821,-0.12005,9.81929,-2.00E-05,0.00013,-6.00E-05,,,
1.96038,-0.09736,-0.12029,9.81888,-3.00E-05,0.00088,-3.00E-05,,,
1.99346,-0.09838,-0.12032,9.81262,-0.00019,0.00086,-1.00E-05,,,
2.02645,-0.09782,-0.1205,9.81198,-2.00E-05,0.00017,0.00017,,,
2.05929,-0.09845,-0.12233,9.82008,0.00033,0.00082,0.00022,,,
2.09237,-0.09947,-0.12217,9.80899,0.00065,0.00085,0.00016,,,
2.12569,-0.10147,-0.12696,9.81005,0.0018,-0.00077,0.00022,,,
2.15878,-0.10142,-0.1753,9.81902,0.00653,-0.00127,0.00093,,,
2.19195,-0.12428,-0.6353,9.37685,0.0106,-0.03986,-0.00034,,,
2.22498,-0.06222,-1.28495,9.94412,-0.02189,-0.1071,-0.02539,,,
2.25811,-0.00043,-2.01246,10.53275,0.00322,0.02974,-0.03094,,,
2.29087,-0.11063,-2.03972,9.50973,0.01224,0.0928,0.00364,,,
2.32423,-0.1618,-2.49768,9.12643,-0.00502,-0.05574,-0.04897,,,
2.3573,-0.05054,-3.72008,9.91082,-0.01022,-0.12028,-0.09533,,,
2.39044,0.04528,-4.41852,10.22637,0.00897,-0.02922,-0.03983,,,
2.42343,-0.03482,-3.29815,9.82034,0.02373,0.03982,-0.00125,,,
2.4566,-0.16557,-2.54114,8.98506,0.03082,-0.04599,-0.05859,,,
2.48969,-0.14375,-2.19619,9.31291,0.00552,-0.24731,-0.17427,,,
2.52277,0.35109,-2.37513,11.0796,0.0057,-0.13535,-0.18417,,,
2.55575,0.32721,-0.60102,10.92709,0.02959,0.20584,-0.08314,,,
2.5886,-0.26306,1.66406,8.60329,0.05262,0.18766,-0.09771,,,
2.62201,-0.3297,2.77433,8.45819,-0.01138,-0.1693,-0.21963,,,
2.65499,0.05521,3.14409,10.58048,0.00452,-0.20827,-0.22092,,,
2.68824,-0.04471,4.26181,10.49659,0.02543,-0.00233,-0.2723,,,
2.72092,-0.20358,4.18813,9.48728,0.01591,0.02192,-0.31352,,,
2.75425,-0.0338,4.07042,9.04901,0.02781,-0.11852,-0.20878,,,
2.78732,-0.02225,4.40827,8.94421,0.03679,-0.32138,-0.06049,,,
2.82041,0.42237,2.1036,10.16142,-0.02378,-0.42491,0.02636,,,
2.85325,0.75586,1.512,11.51768,0.0035,-0.12725,0.27422,,,
2.88634,0.13922,2.98639,11.00489,-0.01021,0.2212,0.313,,,
2.91948,0.13761,2.74622,9.84384,-0.01291,0.36182,0.22882,,,
2.95255,0.26046,1.81966,8.95547,-0.02501,0.22078,0.32113,,,
2.98558,-0.24507,2.53394,9.50608,-0.02641,0.06237,0.45495,,,
3.01866,0.05349,3.68433,11.02804,-0.02208,0.18671,0.2361,,,
3.05179,-0.02953,1.5904,9.28348,0.00372,0.3028,0.09432,,,
3.08482,-0.16743,0.6942,9.1297,-0.03297,0.06219,0.236,,,
3.1179,0.07221,1.79921,10.16867,-0.01224,0.07204,0.25058,,,
3.15098,-0.11556,0.83791,9.17806,-0.01339,0.06741,0.14348,,,
3.1843,-0.09868,0.2979,9.01651,-0.02102,-0.13488,0.13476,,,
3.21747,0.04872,-0.28362,10.20462,-0.0318,-0.1805,0.01081,,,
